node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND627756AAA,Sankaran_Kovil_D (Tamil Nadu),1,1,1.5852055932394153e-05,0.0,IND627756AAA,232.0,12.0,12.0,IND627756AAA,530.0,12.0,12.0,762.0,24.0,24.0,797.5,638.5,718.0
IND638401AAA,Sathyamangalam_Mlydpthr_D (Tamil Nadu),1,1,1.3077946144225176e-05,0.0,IND638401AAA,28.0,2.0,10.0,IND638401AAA,352.0,9.0,9.0,380.0,11.0,19.0,807.0,1010.5,908.75
IND638452AAA,Gobicheti_Ward25_D (Tamil Nadu),1,1,1.2285343347605469e-05,0.0,IND638452AAA,15.0,1.0,2.0,IND638452AAA,28.0,2.0,10.0,43.0,3.0,12.0,809.5,1513.5,1161.5
IND638501AAB,Anthiyour_TherSRT_D (Tamil Nadu),1,1,1.1492740550985761e-05,0.0,IND638501AAB,449.0,9.0,11.0,IND638501AAB,15.0,1.0,2.0,464.0,10.0,13.0,811.0,910.0,860.5
IND641008AAA,Cjb_Kovaipudur_Dc (Tamil Nadu),1,1,6.737123771267515e-06,1.0,IND641008AAA,50.0,3.0,3.0,IND641008AAA,77.0,1.0,1.0,127.0,4.0,4.0,831.5,1356.5,1094.0
IND641011AAA,Cjb_West_Dc (Tamil Nadu),0,1,0.0,0.0,IND641011AAA,477.0,5.0,5.0,0,0.0,0.0,0.0,477.0,5.0,5.0,1290.0,896.0,1093.0
IND457001AAA,Ratlam_Khjurwli_DC (Madhya Pradesh),1,2,0.0004054163304709804,0.3333333333333333,IND457001AAA,605.0,4.0,13.0,IND457001AAA,429.0,5.0,13.0,1034.0,9.0,26.0,667.0,490.0,578.5
IND457226AAA,Jaora_RtlamNka_D (Madhya Pradesh),1,1,0.0,1.0,IND457226AAA,2709.0,11.0,11.0,IND457226AAA,67.0,2.0,11.0,2776.0,13.0,22.0,1290.0,178.0,734.0
IND147001AAB,Patiala (Punjab),2,2,0.00040601078256844526,0.0,IND147001AAB,1237.0,12.0,13.0,IND147001AAB,543.0,12.0,12.0,1780.0,24.0,25.0,656.0,273.0,464.5
IND147201AAA,Nabha_Sahni_D (Punjab),2,1,1.1889041949295614e-06,0.3333333333333333,IND147201AAA,35.0,1.0,7.0,IND147201AAA,63.0,6.0,7.0,98.0,7.0,14.0,921.0,1402.5,1161.75
IND625532AAA,Usilampatti_MrutiNGR_D (Tamil Nadu),0,2,0.0,0.0,IND625532AAA,203.0,6.0,6.0,0,0.0,0.0,0.0,203.0,6.0,6.0,1290.0,1245.5,1267.75
IND685514AAA,Kattappana_Palikval_D (Kerala),2,1,5.944520974647807e-06,0.0,IND685514AAA,552.0,6.0,6.0,IND685514AAA,288.0,6.0,6.0,840.0,12.0,12.0,842.0,598.5,720.25
IND470117AAA,Khurai_Talaiya_D (Madhya Pradesh),1,1,1.981506991549269e-06,0.0,IND470117AAA,277.0,3.0,3.0,IND470117AAA,44.0,2.0,2.0,321.0,5.0,5.0,899.5,1091.5,995.5
IND473443AAA,Mungaoli_AshkngRd_D (Madhya Pradesh),0,1,0.0,0.0,IND473443AAA,203.0,4.0,4.0,0,0.0,0.0,0.0,203.0,4.0,4.0,1290.0,1245.5,1267.75
IND521201AAA,Nuzvid_Ward17_D (Andhra Pradesh),1,1,0.0012269491291673075,0.0,IND521201AAA,35.0,2.0,2.0,IND521201AAA,844.0,15.0,15.0,879.0,17.0,17.0,293.0,572.5,432.75
IND521165AAA,Vuyyuru_BhogdDPP_D (Andhra Pradesh),2,1,0.0,1.0,IND521165AAA,249.0,1.0,1.0,IND521165AAA,211.0,2.0,2.0,460.0,3.0,3.0,1290.0,915.0,1102.5
IND571104AAA,Koppa_BMRd_D (Karnataka),1,1,0.0012166452928112513,0.0,IND571104AAA,213.0,11.0,11.0,IND571104AAA,734.0,10.0,10.0,947.0,21.0,21.0,335.5,538.0,436.75
IND571426AAA,Krishnarajpet_MuruPost_D (Karnataka),2,1,0.0012217972109892794,0.3333333333333333,IND571426AAA,734.0,10.0,10.0,IND571426AAA,327.0,10.0,12.0,1061.0,20.0,22.0,317.0,479.0,398.0
IND571432AAB,Nagamangala_MandyaRD_D (Karnataka),1,1,0.0,1.0,IND571432AAB,194.0,9.0,11.0,IND571432AAB,249.0,7.0,7.0,443.0,16.0,18.0,1290.0,934.5,1112.25
IND573142AAA,Ramanathapura_Central_D_2 (Karnataka),2,1,0.0020171741173971563,0.3333333333333333,IND573142AAA,508.0,11.0,11.0,IND573142AAA,723.0,12.0,12.0,1231.0,23.0,23.0,198.0,397.0,297.5
IND577598AAB,Madikeri_MuthpTmp_D (Karnataka),1,1,0.0012114933746332232,0.0,IND577598AAB,651.0,11.0,11.0,IND577598AAB,213.0,11.0,11.0,864.0,22.0,22.0,354.5,578.0,466.25
IND251201AAA,Khatauli_TilakNgr_D (Uttar Pradesh),0,1,0.0,0.0,IND251201AAA,37.0,1.0,1.0,0,0.0,0.0,0.0,37.0,1.0,1.0,1290.0,1523.0,1406.5
IND572201AAB,Tiptur_YTRd_D (Karnataka),2,2,0.0006069355915115411,0.6666666666666666,IND572201AAB,141.0,3.0,3.0,IND572201AAB,133.0,6.0,6.0,274.0,9.0,9.0,540.0,1150.5,845.25
