source_center,source_name,destination_center,destination_name,median_delay_ratio,total_delay_minutes,sla_breach_count,total_trips
IND756019AAA,Balasore_Ganeshwr_D (Orissa),IND756032AAA,Jaleswar_NaturDPP_D (Orissa),1.4864864864864864,19,1,1
IND756019AAA,Balasore_Ganeshwr_D (Orissa),IND757001AAA,Baripada_KalikDPP_D (Orissa),2.5531914893617023,74,1,1
IND756019AAA,Balasore_Ganeshwr_D (Orissa),IND757025AAA,Betnoti_MhliaDPP_D (Orissa),2.2552631578947366,98,4,4
IND756019AAA,Balasore_Ganeshwr_D (Orissa),IND757041AAA,Udala_NagplDPP_D (Orissa),1.123076923076923,9,0,1
IND756032AAA,Jaleswar_NaturDPP_D (Orissa),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.742647058823529,1964,7,7
IND756045AAB,Soro_UttarDPP_D (Orissa),IND756019AAA,Balasore_Ganeshwr_D (Orissa),1.588235294117647,11,1,1
IND756100AAC,Bhadrak_Central_I_2 (Orissa),IND756045AAB,Soro_UttarDPP_D (Orissa),1.1363636363636365,7,0,1
IND756100AAC,Bhadrak_Central_I_2 (Orissa),IND757037AAA,Karanjia_Sarubali_D (Orissa),1.65,79,1,1
IND756100AAC,Bhadrak_Central_I_2 (Orissa),IND758001AAA,Kendujhar_Sirjudin_D (Orissa),2.84070796460177,690,3,3
IND756100AAC,Bhadrak_Central_I_2 (Orissa),IND758034AAA,Joda_Central_D_1 (Orissa),2.2805295255094453,1872,8,8
IND757025AAA,Betnoti_MhliaDPP_D (Orissa),IND757001AAA,Baripada_KalikDPP_D (Orissa),2.2222222222222223,46,2,2
IND757037AAA,Karanjia_Sarubali_D (Orissa),IND756100AAC,Bhadrak_Central_I_2 (Orissa),2.7333333333333334,1012,5,5
IND757037AAA,Karanjia_Sarubali_D (Orissa),IND758001AAA,Kendujhar_Sirjudin_D (Orissa),1.837209302325581,37,1,1
IND757041AAA,Udala_NagplDPP_D (Orissa),IND756019AAA,Balasore_Ganeshwr_D (Orissa),1.4453306746427383,50,2,2
IND757041AAA,Udala_NagplDPP_D (Orissa),IND757001AAA,Baripada_KalikDPP_D (Orissa),1.7209302325581397,32,1,1
IND758001AAA,Kendujhar_Sirjudin_D (Orissa),IND758035AAA,Barbil_PunjbiPd_D (Orissa),1.9561031959953792,100,2,2
IND758034AAA,Joda_Central_D_1 (Orissa),IND756100AAC,Bhadrak_Central_I_2 (Orissa),2.042682926829268,172,1,1
IND758034AAA,Joda_Central_D_1 (Orissa),IND757037AAA,Karanjia_Sarubali_D (Orissa),1.901098901098901,83,1,1
IND758035AAA,Barbil_PunjbiPd_D (Orissa),IND758001AAA,Kendujhar_Sirjudin_D (Orissa),1.68,35,1,1
IND760003AAB,Berhampur_Khajuria_I (Orissa),IND754022AAA,Tangi_SriDPP_D (Orissa),2.723684210526316,132,1,1
IND760003AAB,Berhampur_Khajuria_I (Orissa),IND761020AAA,Berhampur_Chatrpr_DC (Orissa),2.333333333333333,21,1,1
IND761200AAA,Paralakhemundi_Ward14_D (Orissa),IND532001AAB,Srikakulam_Kuslpram_I (Andhra Pradesh),2.0754716981132075,392,7,7
IND764001AAC,Jeypore_Kelasahi_D (Orissa),IND764059AAA,Nabarangpr_PhdofDPP_D (Orissa),2.4516129032258065,399,7,7
IND764020AAC,Koraput_GhtimDPP_D (Orissa),IND764001AAC,Jeypore_Kelasahi_D (Orissa),2.076923076923077,15,1,1
IND764059AAA,Nabarangpr_PhdofDPP_D (Orissa),IND764071AAB,Pappadahandi_Central_DPP_2 (Orissa),1.7,24,3,3
IND764071AAB,Pappadahandi_Central_DPP_2 (Orissa),IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),2.207317073170732,298,1,1
IND764071AAB,Pappadahandi_Central_DPP_2 (Orissa),IND764073AAA,Umerkote_Central_DPP_1 (Orissa),1.6443850267379678,45,2,2
IND767001AAA,Balangir_Rjndpara_D (Orissa),IND767017AAA,Sonepur_BrezeDPP_D (Orissa),2.111111111111111,41,1,1
IND767017AAA,Sonepur_BrezeDPP_D (Orissa),IND768004AAD,Sambalpur_Central_H_2 (Orissa),2.25,101,1,1
IND768004AAD,Sambalpur_Central_H_2 (Orissa),IND768028AAA,Bargarh_JJCpxDPP_D (Orissa),2.7333333333333334,53,1,1
IND768028AAB,Bargarh_GurpdDPP_D (Orissa),IND767001AAA,Balangir_Rjndpara_D (Orissa),0.9738562091503268,-3,0,1
IND768216AAA,Brajrajnagar_LamtiDPP_D (Orissa),IND770001AAA,Sundargarh_DiyoDPP_D (Orissa),2.0853174603174605,79,2,2
IND770001AAA,Sundargarh_DiyoDPP_D (Orissa),IND770017AAB,Rajgangpur_Central_D_2 (Orissa),1.4603174603174602,90,3,3
IND781001AAA,Guwahati_UzanBazr_DC (Assam),IND781018AAB,Guwahati_Hub (Assam),2.7648448043184883,225,3,4
IND781003AAA,Guwahati_Chandmari (Assam),IND781018AAB,Guwahati_Hub (Assam),3.026315789473684,219,3,3
IND781005AAA,Guwahati_North (Assam),IND781018AAB,Guwahati_Hub (Assam),1.364864864864865,193,5,6
IND781014AAA,Guwahati_Jalukbari (Assam),IND781102AAA,Hajo_Sardala_D (Assam),2.2222222222222223,80,3,3
IND781014AAA,Guwahati_Jalukbari (Assam),IND781124AAA,Chhaygaon_GwhRDDPP_D (Assam),1.9583333333333333,124,5,5
IND781018AAA,Guwahati_East (Assam),IND781018AAB,Guwahati_Hub (Assam),1.0332046332046332,4,1,2
IND781018AAB,Guwahati_Hub (Assam),IND110037AAM,Delhi_Airport_H (Delhi),2.5476190476190474,24909,12,12
IND781018AAB,Guwahati_Hub (Assam),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2.873065015479876,3511,3,3
IND781018AAB,Guwahati_Hub (Assam),IND781003AAA,Guwahati_Chandmari (Assam),9.8125,142,1,1
IND781018AAB,Guwahati_Hub (Assam),IND781005AAA,Guwahati_North (Assam),1.761904761904762,129,3,5
IND781018AAB,Guwahati_Hub (Assam),IND781022AAA,Guwahati_Sixmile (Assam),1.105263157894737,57,3,7
IND781018AAB,Guwahati_Hub (Assam),IND781354AAA,Rangia_HosptlRd_D (Assam),1.6727272727272728,333,8,8
IND781018AAB,Guwahati_Hub (Assam),IND784001AAA,Tezpur_Mhbhirab_D (Assam),2.147482014388489,624,4,4
